SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments,GP_Appointments,Required_GP_FTE,Required_Staff_FTE,Total_FTE
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-05,142676.81590221595,66013.10974136124,125.7392566502119,121.68842247754715,247.42767912775906
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-06,144608.9299141125,66907.05213483014,127.44200406634313,123.33631393536882,250.77831800171197
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-07,157153.773927515,72711.24785722807,138.4976149661487,134.03575566712212,272.5333706332708
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-08,136983.08336088038,63378.75749070027,120.72144283942909,116.83226328600017,237.55370612542924
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-09,155952.7597590504,72155.56766768613,137.43917650987834,133.01141601803852,270.45059252791685
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-10,187698.796025789,86843.69035025086,165.4165530480969,160.087469326251,325.50402237434787
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-11,147939.41834707023,68447.9885303259,130.37712101014458,126.17687272499099,256.5539937351356
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-12,136245.91310372943,63037.686653257944,120.0717841014437,116.20353404836743,236.27531814981114
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2027-01,157077.07783266663,72675.76243029347,138.43002367674947,133.97034190852884,272.40036558527834
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-02,121410.45758299228,56173.68042238793,106.99748651883415,103.55043993746725,210.5479264563014
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-03,125110.33405187509,57885.52372240404,110.25814042362674,106.70604814201755,216.9641885656443
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-04,121340.2162226048,56141.18144487486,106.93558370452355,103.49053139322213,210.42611509774568
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-05,123167.08521724366,56986.42951593384,108.54558003035018,105.04865984334891,213.5942398736991
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-06,125979.38145637758,58287.61092431627,111.02402080822147,107.44725481279573,218.47127562101718
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-07,134547.33736163183,62251.79676527537,118.5748509814769,114.75482634342296,233.32967732489988
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-08,117797.576600363,54502.087828450036,103.81350062561911,100.46902979668725,204.28253042230637
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-09,133794.62348236187,61903.53427005577,117.91149384772527,114.11284001953351,232.02433386725878
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-10,158683.90569454437,73419.20279452413,139.84610056099834,135.34079825400042,275.18689881499876
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-11,130206.91134146608,60243.58669006713,114.7496889334612,111.05289627206184,225.80258520552303
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2026-12,117727.30157225163,54469.57327369594,103.75156814037322,100.40909253739,204.16066067776322
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,2027-01,136668.72896308335,63233.31331865149,120.44440632124093,116.56415181655854,237.00855813779947
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-02,95326.11820066175,44105.0878673311,84.00969117586877,81.3032227513185,165.31291392718725
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-03,95497.49619036187,44184.38031558059,84.16072441062968,81.44939027743061,165.6101146880603
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-04,94006.33637905271,43494.45675902097,82.84658430289709,80.17758669846309,163.02417100136017
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-05,93157.8061517737,43101.86235846593,82.09878544469701,79.45387903699647,161.55266448169348
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-06,91272.77302630332,42229.70315172375,80.43752981280714,77.84614265806282,158.28367247086996
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-07,100898.51681719361,46683.301847434464,88.92057494749422,86.05589677739547,174.97647172488968
