GP_CODE,Best_Model,Best_MAPE,Seasonal_Naive,MA_3,MA_6,MA_12,ARIMA,SARIMA,HW_m12_add,HW_m6_add,HW_m12_mul,Simple_ES
E87034,SARIMA,2.922774671354703,3.681749250909129,7.292207677449715,6.2581880700401324,6.318718009377743,7.070183876563794,2.922774671354703,4.699543027805335,5.507822520547647,5.035517046284749,7.030258260760365
E87037,Seasonal_Naive,5.291745885818204,5.291745885818204,9.342249091676212,9.548886016461863,9.727271799186974,9.30296525912259,9.417900648846453,7.572545875506047,9.323171907154553,6.778865929788655,9.825389325229592
E87038,Seasonal_Naive,5.577233754128228,5.577233754128228,7.5656417555874915,6.636660958576478,6.4210897736290535,7.0206029915529475,6.9901857225463715,7.415388831727982,6.702323618406132,9.735691511867637,7.037023460837891
E87043,HW_m12_add,11.139518917686742,12.571302757046322,16.259306743440398,18.06805494807495,17.5047371809536,18.407758479078606,15.043476472973985,11.139518917686742,16.592897548848534,11.160367826649537,17.989574989255217
E87045,Seasonal_Naive,4.554400040660853,4.554400040660853,9.185643292508276,8.985593763990696,9.277498646154235,9.53962748368204,9.746664556427746,8.024127632935564,10.197808372811094,8.50566917789749,9.196264521418861
E87046,HW_m12_mul,30.59458902540016,38.48138279681219,44.20936453486602,39.01584892947545,37.00988787554154,52.375725251529516,44.407832442594255,31.37702101110424,31.564913657454284,30.59458902540016,41.60072029248046
E87047,Seasonal_Naive,10.76875578655047,10.76875578655047,15.885153430436953,14.869523165712362,13.505045983973666,16.445508481823786,12.705212699833721,26.757144713593036,23.300420002682554,24.269170344182044,14.662829266762909
E87048,ARIMA,5.617389750925747,6.908257521143405,6.4479740907855065,6.465980619091837,6.560924131979768,5.617389750925747,7.173996734320752,6.065164064728055,8.646550795241964,5.887892906709294,6.543647449162522
E87061,HW_m6_add,5.227630340896825,12.81524777224709,5.784452519444497,5.808356935999107,9.854650807193387,6.868128246032381,7.004940450550399,6.791568153798737,5.227630340896825,6.440764688035645,6.104789442262856
E87063,SARIMA,4.398155186541505,5.205971489335976,5.945519392516036,5.273218860345183,5.709348140503107,5.588343565883244,4.398155186541505,5.996586024616057,7.780896262041646,6.073331863134871,5.539281181515829
E87065,Seasonal_Naive,5.493353842248625,5.493353842248625,10.246122217713094,10.081393564695198,10.024522958296162,8.306003939677344,7.360605318784981,8.77881285907636,9.172466944288454,8.74822907803214,9.83100604439828
E87066,Seasonal_Naive,6.177848183063459,6.177848183063459,10.978607041751888,11.031027555989336,10.406349761326421,10.481030666326365,7.937829032067436,9.492003354288752,10.566026915684718,9.49616763987196,10.030496612786349
E87067,ARIMA,8.702744342376617,38.02536441168292,11.984739676333902,17.825227236625132,28.41799441427873,8.702744342376617,15.025904734568465,24.764671530101843,17.220782390307985,9.949633040723931,13.523601846015595
E87069,MA_6,5.52290120297656,13.774038107121351,6.508124218430303,5.52290120297656,6.007041810661538,5.914481702166508,7.387396784298862,20.065824484566885,18.62945277519909,6.5650638060040905,5.7304966994329165
E87070,ARIMA,12.07827282762748,19.91106335236742,14.57533199031055,20.36077227003297,19.282434213255627,12.07827282762748,14.13333706331855,17.509343236954532,13.49714817537168,19.01530924226197,12.678564974695385
E87609,Seasonal_Naive,4.514152714177907,4.514152714177907,7.904439464060571,7.867769241414722,7.863064382660162,7.195449231181099,5.8246386709698585,7.613463255982701,6.352359262110048,8.085109025102087,7.8200203530995855
E87637,Seasonal_Naive,4.8810712939400505,4.8810712939400505,8.626116734630413,6.958674177300781,6.821801591261173,12.10454715085762,12.708620618402113,6.190171856975665,5.855287189777596,6.3854592972971265,6.802036148772261
E87648,Seasonal_Naive,8.145025728080173,8.145025728080173,8.876938061130296,9.159771482012523,9.22018154056508,8.200107904306492,9.087913555519602,14.402015010051342,10.355885616604304,15.790207139153425,8.832522776194923
E87663,HW_m12_mul,17.77634980805409,19.727501024576487,25.606121173350903,26.074837595160368,26.215147500170577,25.05448613111104,21.21377525272426,18.764675603888882,20.96998098545231,17.77634980805409,25.970742721780844
E87665,SARIMA,7.592589840348393,8.825477026372983,9.220128488201752,9.014775817802922,9.110314328851416,8.32538985698531,7.592589840348393,15.045572487709984,10.178539193053552,16.86978618675038,8.696504517158903
E87677,Seasonal_Naive,5.380943991180485,5.380943991180485,22.892035681519378,24.738802715725853,22.772540461815527,23.269813066848297,6.181213016002322,8.51136771685149,22.56474260361894,8.255858065963945,22.385930439483147
E87681,SARIMA,3.4429708564526083,11.44251910383368,6.953375470983195,5.504983625217897,8.330588888120076,9.044752682330996,3.4429708564526083,8.563390292433375,5.510613231841593,8.305727778913278,7.960565591778174
E87701,Seasonal_Naive,8.650264244699663,8.650264244699663,10.369892501699713,11.08816558980006,9.780222703783686,11.726673868248456,9.484589492442497,10.552255684142981,11.355065603888491,10.497047513526072,9.839731955019504
E87702,HW_m6_add,8.550422534300047,9.168438724000046,11.037663456849428,12.433212081534633,10.633964299068467,11.585301385300188,9.115825280791855,10.62493678065191,8.550422534300047,11.27994976463505,12.029843803693959
E87706,MA_3,5.305177982167799,18.580961622321176,5.305177982167799,7.044733814467895,11.813024777598924,11.10949418391485,10.593337465466895,11.923020036879807,8.549962360754677,19.43679762778178,5.4376807934244855
E87711,HW_m6_add,4.986676126836062,16.196190482573893,8.249031477009765,8.361746885677885,10.978270805480319,10.973378469066413,11.721293386411725,12.271343796983237,4.986676126836062,8.053143204809608,11.536343380854886
E87714,Simple_ES,10.401828487552446,10.921306107132983,11.946621768393573,11.18594556894943,11.755044058903943,11.971586669011995,10.684572031577222,17.84088057331039,15.480925806628079,17.902165899838522,10.401828487552446
