GP_CODE,Month,Total_Appointments,Type
E83020,2024-12-01,2403.0,Historical
E83020,2025-01-01,3160.0,Historical
E83020,2025-02-01,2818.0,Historical
E83020,2025-03-01,3117.0,Historical
E83020,2025-04-01,2529.0,Historical
E83020,2025-05-01,2784.0,Historical
E83020,2025-06-01,2793.0,Historical
E83020,2025-07-01,3088.0,Historical
E83020,2025-08-01,2403.0,Historical
E83020,2025-09-01,2992.0,Historical
E83020,2025-10-01,3682.0,Historical
E83020,2025-11-01,2714.0,Historical
E83020,2025-12-01,2563.0,Historical
E83020,2026-01-01,3113.0,Historical
E83020,2026-02-01,2752.1769985386827,Forecast
E83020,2026-03-01,3048.066700796312,Forecast
E83020,2026-04-01,2465.766995937485,Forecast
E83020,2026-05-01,2804.9399085053033,Forecast
E83020,2026-06-01,2891.6214917716316,Forecast
E83020,2026-07-01,3125.993549249807,Forecast
E83020,2026-08-01,2614.6852815572206,Forecast
E83020,2026-09-01,3275.1172814736224,Forecast
E83020,2026-10-01,3592.3096823932974,Forecast
E83020,2026-11-01,2978.8572083972717,Forecast
E83020,2026-12-01,2465.698668899799,Forecast
E83020,2027-01-01,3144.5083132546533,Forecast
E83021,2022-10-01,5390.0,Historical
E83021,2022-11-01,6091.0,Historical
E83021,2022-12-01,4859.0,Historical
E83021,2023-01-01,5429.0,Historical
E83021,2023-02-01,3146.0,Historical
E83021,2023-03-01,3591.0,Historical
E83021,2023-04-01,2727.0,Historical
E83021,2023-05-01,3297.0,Historical
E83021,2023-06-01,3371.0,Historical
E83021,2023-07-01,3467.0,Historical
E83021,2023-08-01,3371.0,Historical
E83021,2023-09-01,4097.0,Historical
E83021,2023-10-01,3453.0,Historical
E83021,2023-11-01,2712.0,Historical
E83021,2023-12-01,2406.0,Historical
E83021,2024-01-01,3443.0,Historical
E83021,2024-02-01,4253.0,Historical
E83021,2024-03-01,5466.0,Historical
E83021,2024-04-01,5327.0,Historical
E83021,2024-05-01,5515.0,Historical
E83021,2024-06-01,5021.0,Historical
E83021,2024-07-01,5877.0,Historical
E83021,2024-08-01,5102.0,Historical
E83021,2024-09-01,5243.0,Historical
E83021,2024-10-01,6468.0,Historical
E83021,2024-11-01,4945.0,Historical
E83021,2024-12-01,4688.0,Historical
E83021,2025-01-01,5797.0,Historical
E83021,2025-02-01,5450.0,Historical
E83021,2025-03-01,5875.0,Historical
E83021,2025-04-01,5189.0,Historical
E83021,2025-05-01,5190.0,Historical
E83021,2025-06-01,5732.0,Historical
E83021,2025-07-01,6026.0,Historical
E83021,2025-08-01,4949.0,Historical
E83021,2025-09-01,5562.0,Historical
E83021,2025-10-01,5287.0,Historical
E83021,2025-11-01,4008.0,Historical
E83021,2025-12-01,3216.0,Historical
E83021,2026-01-01,3631.0,Historical
E83021,2026-02-01,3084.8513228244874,Forecast
E83021,2026-03-01,3569.5314398615915,Forecast
E83021,2026-04-01,3218.4926596479236,Forecast
E83021,2026-05-01,3361.0985292842706,Forecast
E83021,2026-06-01,3388.932979763042,Forecast
E83021,2026-07-01,3705.1332222788456,Forecast
E83021,2026-08-01,3209.1658599042466,Forecast
E83021,2026-09-01,3540.54534268235,Forecast
E83021,2026-10-01,3655.7564067482695,Forecast
E83021,2026-11-01,3153.831801928667,Forecast
E83021,2026-12-01,2688.806703630223,Forecast
E83021,2027-01-01,3206.967125158428,Forecast
E83024,2022-10-01,3715.0,Historical
E83024,2022-11-01,3878.0,Historical
E83024,2022-12-01,2986.0,Historical
E83024,2023-01-01,3273.0,Historical
E83024,2023-02-01,3011.0,Historical
E83024,2023-03-01,3528.0,Historical
E83024,2023-04-01,2328.0,Historical
E83024,2023-05-01,2997.0,Historical
E83024,2023-06-01,3475.0,Historical
E83024,2023-07-01,3258.0,Historical
E83024,2023-08-01,2981.0,Historical
E83024,2023-09-01,3690.0,Historical
E83024,2023-10-01,3467.0,Historical
E83024,2023-11-01,2962.0,Historical
E83024,2023-12-01,2871.0,Historical
E83024,2024-01-01,4005.0,Historical
E83024,2024-02-01,3676.0,Historical
E83024,2024-03-01,3439.0,Historical
E83024,2024-04-01,3269.0,Historical
E83024,2024-05-01,3184.0,Historical
E83024,2024-06-01,3308.0,Historical
E83024,2024-07-01,3625.0,Historical
E83024,2024-08-01,3246.0,Historical
E83024,2024-09-01,4537.0,Historical
E83024,2024-10-01,5399.0,Historical
E83024,2024-11-01,4172.0,Historical
E83024,2024-12-01,3534.0,Historical
E83024,2025-01-01,4177.0,Historical
E83024,2025-02-01,3403.0,Historical
E83024,2025-03-01,4241.0,Historical
E83024,2025-04-01,3756.0,Historical
E83024,2025-05-01,4279.0,Historical
E83024,2025-06-01,3672.0,Historical
E83024,2025-07-01,3916.0,Historical
E83024,2025-08-01,3783.0,Historical
E83024,2025-09-01,5176.0,Historical
E83024,2025-10-01,5943.0,Historical
E83024,2025-11-01,5255.0,Historical
