GP_CODE,Month,Total_Appointments,Type,GP_Appointments,Staff_Appointments,GP_FTE_Required,Staff_FTE_Required,Total_FTE_Required
E87047,2026-10-01,3483.994140120195,Forecast,2072.11065560146,1411.8834845187348,3.9468774392408763,2.241084896061484,6.187962335302361
E87047,2026-11-01,3113.6358313617793,Forecast,1851.8395049897163,1261.796326372063,3.5273133428375547,2.0028513117016873,5.5301646545392416
E87047,2026-12-01,2690.3886913969995,Forecast,1600.112643978519,1090.2760474184806,3.047833607578131,1.730596900664255,4.778430508242386
E87047,2027-01-01,3183.367039167197,Forecast,1893.31224372302,1290.0547954441772,3.6063090356628953,2.047706024514567,5.654015060177462
E87048,2026-02-01,1352.6375098655003,Forecast,592.7793820971219,759.8581277683783,1.1291035849468989,1.206124012330759,2.335227597277658
E87048,2026-03-01,1412.8921233632568,Forecast,619.1853425242083,793.7067808390484,1.1794006524270635,1.2598520330778546,2.4392526855049184
E87048,2026-04-01,1493.6927796079644,Forecast,654.5953934302654,839.0973861776989,1.2468483684386007,1.3319006129804745,2.578748981419075
E87048,2026-05-01,1543.801932973167,Forecast,676.5552110107998,867.246721962367,1.2886765924015233,1.3765820983529635,2.665258690754487
E87048,2026-06-01,1427.7647697477848,Forecast,625.7031257955343,802.0616439522504,1.1918154777057797,1.2731137205591276,2.4649291982649073
E87048,2026-07-01,1410.0769061084661,Forecast,617.9516027139542,792.1253033945118,1.1770506718361033,1.25734175141986,2.4343924232559635
E87048,2026-08-01,1489.0394985396947,Forecast,652.5561411869594,836.4833573527353,1.2429640784513512,1.3277513608773577,2.570715439328709
E87048,2026-09-01,1418.0927371080077,Forecast,621.4644576453362,796.6282794626715,1.1837418240863546,1.264489332480431,2.4482311565667856
E87048,2026-10-01,1641.5591826782534,Forecast,719.3963134148411,922.1628692634123,1.3702786922187449,1.4637505861324005,2.8340292783511454
E87048,2026-11-01,1543.1864738766408,Forecast,676.2854924348444,866.9009814417963,1.288162842733037,1.376033303875867,2.664196146608904
E87048,2026-12-01,1515.8363278264944,Forecast,664.2995741399393,851.536753686555,1.265332522171313,1.3516456407723096,2.6169781629436226
E87048,2027-01-01,1631.3252552220101,Forecast,714.911400679764,916.413854542246,1.3617360012947886,1.454625165940073,2.8163611672348616
E87061,2026-02-01,6342.735331009687,Forecast,3903.2706351067727,2439.464695902914,7.434801209727186,3.8721661839728796,11.306967393700067
E87061,2026-03-01,6481.941857734338,Forecast,3988.93726308714,2493.004594647198,7.5979757392136,3.9571501502336472,11.555125889447247
E87061,2026-04-01,5952.664567461056,Forecast,3663.2240814488773,2289.440486012179,6.977569678950243,3.6340325174796493,10.611602196429892
E87061,2026-05-01,6192.97136428013,Forecast,3811.1070395875618,2381.864324692568,7.259251503976308,3.7807370233215365,11.039988527297844
E87061,2026-06-01,6118.665830153072,Forecast,3765.379984263956,2353.2858458891164,7.172152350978964,3.7353743585541532,10.907526709533117
E87061,2026-07-01,6357.369146306328,Forecast,3912.2761727094057,2445.092973596922,7.451954614684582,3.8810999580903527,11.333054572774934
E87061,2026-08-01,5746.406268581395,Forecast,3536.2943075817566,2210.1119609996385,6.735798681108108,3.50811422380895,10.243912904917057
E87061,2026-09-01,6356.916331694131,Forecast,3911.9975140729193,2444.918817621212,7.45142383632937,3.88082352003367,11.332247356363041
E87061,2026-10-01,6874.289914635435,Forecast,4230.385245593367,2643.9046690420682,8.057876658273079,4.196674077844553,12.254550736117633
E87061,2026-11-01,6408.203118082993,Forecast,3943.559008733105,2464.6441093498875,7.511540969015439,3.912133506904583,11.423674475920022
E87061,2026-12-01,5820.905084320039,Forecast,3582.1403069254798,2238.7647773945596,6.823124394143771,3.5535948847532692,10.37671927889704
E87061,2027-01-01,6517.62557658744,Forecast,4010.8967497568365,2506.728826830604,7.639803332870165,3.9789346457628634,11.618737978633028
E87063,2026-02-01,7861.231317348033,Forecast,4708.440972042569,3152.7903453054646,8.968458994366799,5.0044291195324835,13.972888113899282
E87063,2026-03-01,7979.293263445153,Forecast,4779.153520980804,3200.139742464349,9.103149563772961,5.079586892800554,14.182736456573515
E87063,2026-04-01,6943.8988465007715,Forecast,4159.009767647051,2784.8890788537205,7.921923366946764,4.420458855323366,12.34238222227013
E87063,2026-05-01,7235.167792263163,Forecast,4333.463690035121,2901.7041022280437,8.254216552447849,4.605879527346101,12.86009607979395
E87063,2026-06-01,7321.852058678413,Forecast,4385.382751457511,2936.4693072209025,8.353110002776212,4.661062392414131,13.014172395190343
E87063,2026-07-01,7822.920347662819,Forecast,4685.494828866948,3137.4255187958715,8.924752054984664,4.980040506025193,13.904792561009856
E87063,2026-08-01,7154.86445501676,Forecast,4285.366450808954,2869.4980042078064,8.162602763445626,4.554758736837788,12.717361500283413
E87063,2026-09-01,7763.450214667884,Forecast,4649.8755219794575,3113.574692688427,8.856905756151347,4.942182051886392,13.79908780803774
E87063,2026-10-01,8373.193451470159,Forecast,5015.077857681009,3358.1155937891504,9.552529252725732,5.330342212363731,14.882871465089462
E87063,2026-11-01,7762.281866017874,Forecast,4649.17574602436,3113.1061199935143,8.855572849570208,4.941438285703991,13.7970111352742
E87063,2026-12-01,7303.7653268113645,Forecast,4374.549803547019,2929.215523264346,8.332475816280036,4.649548449625946,12.98202426590598
E87063,2027-01-01,8282.76769683221,Forecast,4960.917852603227,3321.849844228984,9.449367338291863,5.272777530522196,14.722144868814059
E87065,2026-02-01,1984.8542927239641,Forecast,704.6432422700527,1280.2110504539112,1.34217760432391,2.0320810324665257,3.3742586367904357
E87065,2026-03-01,2215.953452793804,Forecast,786.6857690360941,1429.2676837577098,1.4984490838782745,2.268678863107476,3.7671279469857506
E87065,2026-04-01,2000.0938827038933,Forecast,710.0534500287222,1290.040432675171,1.3524827619594708,2.0476832264685254,3.400165988427996
E87065,2026-05-01,2072.215309145877,Forecast,735.6572819832969,1336.5580271625802,1.4012519656824702,2.1215206780358415,3.522772643718312
E87065,2026-06-01,2137.8508228138166,Forecast,758.9585496524543,1378.8922731613623,1.4456353326713416,2.188717893906924,3.6343532265782654
E87065,2026-07-01,2128.135054821359,Forecast,755.509354270987,1372.625700550372,1.439065436706642,2.1787709532545585,3.6178363899612007
E87065,2026-08-01,1814.8230659666249,Forecast,644.2804461954754,1170.5426197711492,1.2272008498961435,1.8580041583669036,3.0852050082630473
E87065,2026-09-01,2166.7286045452483,Forecast,769.2104526880555,1397.5181518571926,1.4651627670248677,2.2182827807257026,3.68344554775057
E87065,2026-10-01,2282.646462059554,Forecast,810.3624582812629,1472.2840037782908,1.5435475395833578,2.336958736156017,3.880506275739375
