ICB_CODE,Month,GP_Appointments,Required_GP_FTE,Num_Sub_ICBs
E54000038,2026-04,131044.32615168235,249.60824028891878,1
E54000038,2026-05,126377.44868217311,240.71894987080591,1
E54000038,2026-06,123084.69202758359,234.44703243349255,1
E54000038,2026-07,134136.9008282433,255.4988587204634,1
E54000038,2026-08,120365.12690214347,229.26690838503518,1
E54000038,2026-09,134531.4129729157,256.25031042460137,1
E54000038,2026-10,177397.3595639686,337.89973250279735,1
E54000038,2026-11,136976.24543113462,260.9071341545421,1
E54000038,2026-12,123204.97748119787,234.67614758323404,1
E54000038,2027-01,141612.71183670434,269.7384987365797,1
E54000039,2026-02,220882.73805651395,420.72902486955036,1
E54000039,2026-03,227113.37546677326,432.5969056509967,1
E54000039,2026-04,220478.98759478258,419.9599763710144,1
E54000039,2026-05,215975.09506141057,411.38113345030587,1
E54000039,2026-06,212139.50626402968,404.0752500267232,1
E54000039,2026-07,228949.48591459327,436.09425888493956,1
E54000039,2026-08,202448.90082132033,385.6169539453721,1
E54000039,2026-09,223901.7063754782,426.4794407151966,1
E54000039,2026-10,266427.5761129978,507.481097358091,1
E54000039,2026-11,233231.93791679144,444.25131031769797,1
E54000039,2026-12,207907.17829658347,396.0136729458733,1
E54000039,2027-01,239898.087875513,456.94873881050097,1
E54000040,2026-02,228962.60330698098,436.1192443942495,1
E54000040,2026-03,231028.54079654388,440.05436342198834,1
E54000040,2026-04,226629.54230164486,431.67531866979976,1
E54000040,2026-05,225750.35488519017,430.0006759717908,1
E54000040,2026-06,222165.0424467856,423.17150942244876,1
E54000040,2026-07,242432.68637235017,461.7765454711432,1
E54000040,2026-08,207144.81674943643,394.5615557132123,1
E54000040,2026-09,235641.28270342218,448.84053848270895,1
E54000040,2026-10,291245.95099022595,554.7541923623352,1
E54000040,2026-11,239406.6196095076,456.01260878001443,1
E54000040,2026-12,213248.62414571384,406.1878555156454,1
E54000040,2027-01,250561.21964620022,477.25946599276233,1
E54000041,2026-02,205597.5159729174,391.6143161388903,1
E54000041,2026-03,210788.0717841107,401.50108911259184,1
E54000041,2026-04,208471.8706221698,397.08927737556155,1
E54000041,2026-05,203033.03887334233,386.7295978539854,1
E54000041,2026-06,201592.2665834707,383.9852696828013,1
E54000041,2026-07,221727.64822955293,422.3383775801008,1
E54000041,2026-08,193586.12438864965,368.73547502599934,1
E54000041,2026-09,220090.59851932392,419.22018765585506,1
E54000041,2026-10,279595.1136052625,532.5621211528809,1
E54000041,2026-11,224737.9222403246,428.07223283871355,1
E54000041,2026-12,200672.4829576417,382.2333008716985,1
E54000041,2027-01,241052.9381187809,459.14845355958266,1
E54000042,2026-02,417793.00299782393,795.7961961863313,2
